Number of Pennies,Boat Volume
75,262
56,190
48,204
11,40.32
9,126
38,214.7
46,81
65,574.75
13,113.75
25,120
16,104.36
4,34
22,120
3,21.3
19,80.32
17,390
28,87.36
23,62.5
33,92
11,34.375
39,112.5
42,250
71,177.5
33,72
3,75.4
7,275
36,98
63,202.13
13,120
42,147.8
34,128
21,169
70,210
13,60
18,48.75
23,286.77
23,129.6
10,85
11,87.5
71,255.4
18,96
25,190
38,57
52,250
40,186
13,288
60,288
16,96
17,47.25
29,100
39,150
56,141.86
25,80.58
15,144
40,54.6
25,138
62,200
31,128
8,42.075
8,42.075
13,42.075
13,40
27,107.256
4,37.44
47,182.6
54,168.525
46,190.7
56,238
52,190.85
17,220
16,34.155
41,133.5
32,66.822
10,108
13,42
54,242.25
8,24.7
10,41.11
16,142.6
20,240
23,525
5,54
13,63
18,90
40,114.75
27,108
24,75
56,180
26,0.95
30,80
47,231.472
40,150.528
25,162
51,256
14,216
25,80.85
52,256
82,300
16,127
23,97.049
47,167.79
41,100.8
2,14
15,150
58,225
80,206.1
55,369.6
8,12.56
66,196
29,198
30,175.5
24,105.534
54,229.15
30,67.5
20,115.5
68,221.4
41,112.5
22,83.89
72,225
5,63
9,131.25
20,195
35,120
47,173.5
62,216
36,162
2,8
23,117
12,196.6
13,98.32
23,49.16
24,52.5
32,90
63,112.5
77,240.03
59,193.17
23,327.64
26,95
68,198
45,160
32,140.25
38,187.64
38,128
6,84
12,5.625
16,10
20,66
64,225
52,110
30,130
42,231
6,80
19,96
8,42
42,160
45,240
